mysql> SELECT * FROM PLAYERS;
+-------+--------+--------+------------+--------------------------------+------------------+----------------------------+
| nflId | height | weight | birthDate  | collegeName                    | officialPosition | displayName                |
| 37084 | 5-Jun  |    288 | 3/22/1989  | Wisconsin                      | DE               | J.J. Watt                  |
| 37087 | 4-Jun  |    257 | 5/18/1990  | North Carolina                 | OLB              | Robert Quinn               |
| 37089 | 4-Jun  |    265 | 8/16/1988  | Purdue                         | DE               | Ryan Kerrigan              |
| 37090 | 8-Jun  |    325 | 4/12/1988  | Colorado                       | T                | Nate Solder                |
| 37097 | 4-Jun  |    287 | 7/10/1989  | California                     | DE               | Cameron Jordan             |
| 37100 | 2-Jun  |    210 | 7/26/1988  | Colorado                       | CB               | Jimmy Smith                |
| 37101 | 9-May  |    215 | 12/21/1989 | Alabama                        | RB               | Mark Ingram                |
| 37104 | 5-Jun  |    295 | 5/6/1989   | Ohio State                     | DT               | Cameron Heyward            |
| 37110 | 2-Jun  |    220 | 10/29/1987 | Texas Christian                | QB               | Andy Dalton                |
| 37112 | 3-Jun  |    268 | 5/10/1989  | Pittsburgh                     | DE               | Jabaal Sheard              |
| 37118 | 6-Jun  |    265 | 11/9/1989  | Notre Dame                     | TE               | Kyle Rudolph               |
| 37130 | 2-Jun  |    315 | 7/12/1989  | Florida State                  | C                | Rodney Hudson              |
| 37139 | 10-May |    192 | 8/22/1990  | Kentucky                       | WR               | Randall Cobb               |
| 37145 | 3-Jun  |    270 | 1/21/1989  | Georgia                        | OLB              | Justin Houston             |
| 37174 | 4-Jun  |    246 | 7/23/1989  | Mississippi State              | OLB              | K.J. Wright                |
| 37179 | 5-Jun  |    253 | 7/17/1988  | Tennessee                      | TE               | Luke Stocker               |
| 37200 | Jun-00 |    195 | 7/26/1988  | Eastern Washington             | RB               | Taiwan Jones               |
| 37213 | 6-Jun  |    335 | 5/6/1988   | Texas Christian                | T                | Marcus Cannon              |
| 37229 | 3-Jun  |    195 | 3/30/1988  | Stanford                       | CB               | Richard Sherman            |
| 37234 | 6-Jun  |    265 | 11/21/1987 | Marshall                       | TE               | Lee Smith                  |
| 37240 | 3-Jun  |    265 | 12/17/1988 | Mississippi State              | OLB              | Pernell McPhee             |
| 37255 | 1-Jun  |    215 | 8/3/1989   | Virginia Tech                  | QB               | Tyrod Taylor               |
| 37266 | 3-Jun  |    295 | 11/5/1987  | Cincinnati                     | C                | Jason Kelce                |
| 37308 | 4-Jun  |    315 | 3/17/1990  | Arizona State                  | DT               | Lawrence Guy               |
| 37317 | Jun-00 |    225 | 7/5/1989   | Southern California            | MLB              | Malcolm Smith              |
| 37724 | 10-May |    199 | 6/18/1989  | Kansas                         | CB               | Chris Harris               |
| 37737 | 1-Jun  |    210 | 10/24/1987 | Monmouth, N.J.                 | WR               | Chris Hogan                |
| 37778 | 1-Jun  |    235 | 8/24/1989  | Auburn                         | ILB              | Josh Bynes                 |
| 37792 | 1-Jun  |    250 | 5/12/1989  | Central Michigan               | LB               | Nick Bellore               |
| 37841 | 3-Jun  |    260 | 9/6/1987   | Troy                           | DE               | Mario Addison              |
| 38538 | 4-Jun  |    207 | 7/27/1988  | Texas A&amp;M                  | QB               | Ryan Tannehill             |
| 38540 | 1-Jun  |    202 | 9/19/1990  | South Carolina                 | CB               | Stephon Gilmore            |
| 38542 | 4-Jun  |    310 | 12/13/1990 | Mississippi State              | DT               | Fletcher Cox               |
| 38544 | 5-Jun  |    305 | 12/21/1990 | Louisiana State                | DE               | Michael Brockers           |
| 38547 | 2-Jun  |    190 | 10/26/1989 | Alabama                        | CB               | Dre Kirkpatrick            |
| 38548 | 2-Jun  |    247 | 4/26/1989  | South Carolina                 | OLB              | Melvin Ingram              |
| 38551 | 5-Jun  |    265 | 2/27/1990  | Syracuse                       | OLB              | Chandler Jones             |
| 38553 | 6-Jun  |    305 | 12/1/1988  | Iowa                           | T                | Riley Reiff                |
| 38555 | 3-Jun  |    260 | 3/12/1990  | Alabama                        | OLB              | Dont'a Hightower           |
| 38556 | 4-Jun  |    258 | 7/21/1990  | Illinois                       | DE               | Whitney Mercilus           |
| 38557 | 4-Jun  |    315 | 3/8/1990   | Wisconsin                      | G                | Kevin Zeitler              |
| 38559 | 2-Jun  |    214 | 2/2/1989   | Notre Dame                     | SS               | Harrison Smith             |
| 38569 | 10-May |    190 | 10/29/1988 | North Alabama                  | CB               | Janoris Jenkins            |
| 38577 | Jun-00 |    242 | 6/27/1990  | Utah State                     | MLB              | Bobby Wagner               |
| 38578 | Jun-00 |    208 | 3/19/1990  | Illinois                       | SS               | Tavon Wilson               |
| 38588 | 1-Jun  |    233 | 1/23/1990  | Nebraska                       | ILB              | Lavonte David              |
| 38592 | 11-May |    192 | 9/9/1989   | Vanderbilt                     | CB               | Casey Hayward              |
| 38605 | 11-May |    215 | 11/29/1988 | Wisconsin                      | QB               | Russell Wilson             |
| 38606 | 5-Jun  |    335 | 8/19/1989  | Miami, O.                      | G                | Brandon Brooks             |
| 38607 | 2-Jun  |    248 | 1/11/1989  | Arkansas State                 | ILB              | Demario Davis              |
| 38613 | 2-Jun  |    215 | 8/22/1989  | Rutgers                        | WR               | Mohamed Sanu               |
| 38619 | 4-Jun  |    352 | 11/16/1989 | Regina, Can.                   | DT               | Akiem Hicks                |
| 38622 | 10-May |    183 | 11/14/1989 | Florida International          | WR               | T.Y. Hilton                |
| 38629 | 3-Jun  |    308 | 7/2/1989   | Georgia                        | C                | Ben Jones                  |
| 38630 | 10-May |    175 | 12/29/1989 | Miami                          | WR               | Travis Benjamin            |
| 38632 | 3-Jun  |    202 | 8/19/1988  | Michigan State                 | QB               | Kirk Cousins               |
| 38642 | 6-Jun  |    325 | 8/1/1989   | Mississippi                    | T                | Bobby Massie               |
| 38667 | 5-Jun  |    290 | 1/11/1990  | Tennessee                      | DT               | Malik Jackson              |
| 38673 | Jun-00 |    200 | 12/15/1987 | Coastal Carolina               | CB               | Josh Norman                |
| 38681 | 3-Jun  |    300 | 5/10/1990  | Washington                     | G                | Senio Kelemete             |
| 38696 | 2-Jun  |    198 | 3/12/1990  | California                     | WR               | Marvin Jones               |
| 38707 | Jun-00 |    200 | 6/17/1990  | Presbyterian                   | FS               | Justin Bethel              |
| 38718 | Jun-00 |    239 | 3/24/1990  | Kentucky                       | ILB              | Danny Trevathan            |
| 38779 | 3-Jun  |    308 | 6/8/1989   | Southern Methodist             | T                | Kelvin Beachum             |
| 38843 | 10-May |    195 | 6/23/1990  | Virginia                       | FS               | Rodney McLeod              |
| 38868 | 1-Jun  |    212 | 8/7/1990   | Wyoming                        | FS               | Tashaun Gipson             |
| 38937 | 1-Jun  |    215 | 2/17/1988  | Houston                        | QB               | Case Keenum                |
| 38947 | 8-May  |    174 | 4/26/1989  | Southern Methodist             | WR               | Cole Beasley               |
| 39008 | 1-Jun  |    230 | 9/2/1990   | Wagner                         | OLB              | Julian Stanford            |
| 39109 | 3-Jun  |    240 | 7/25/1990  | Beloit                         | TE               | Derek Carrier              |
| 39146 | 5-Jun  |    310 | 4/11/1989  | Oregon State                   | T                | Mike Remmers               |
| 39212 | 11-May |    220 | 1/26/1990  | Mississippi                    | RB               | Brandon Bolden             |
| 39646 | 3-Jun  |    225 | 4/13/1991  | Utah                           | WR               | Josh Gordon                |
| 39684 | 3-Jun  |    305 | 2/26/1990  | Pennsylvania                   | G                | Greg Van Roten             |
| 39907 | 7-Jun  |    270 | 4/22/1986  | California-Irvine              | TE               | Darren Fells               |
| 39908 | 2-Jun  |    220 | 4/2/1990   | California, Pa.                | FS               | Erik Harris                |
| 39941 | 10-May |    207 | 2/26/1990  | Southern Methodist             | FS               | Chris Banjo                |
| 39947 | 7-Jun  |    315 | 1/5/1991   | Central Michigan               | T                | Eric Fisher                |
| 39950 | 6-Jun  |    317 | 5/8/1990   | Oklahoma                       | T                | Lane Johnson               |
| 39954 | 8-May  |    179 | 3/15/1990  | West Virginia                  | WR               | Tavon Austin               |
| 39959 | 3-Jun  |    294 | 11/29/1990 | Missouri                       | DT               | Sheldon Richardson         |
| 39960 | 2-Jun  |    318 | 12/20/1989 | Utah                           | DT               | Star Lotulelei             |
| 39965 | 5-Jun  |    311 | 8/15/1990  | Syracuse                       | G                | Justin Pugh                |
| 39968 | Jun-00 |    190 | 9/10/1990  | Washington                     | CB               | Desmond Trufant            |
| 39971 | 1-Jun  |    218 | 6/19/1990  | Florida State                  | CB               | Xavier Rhodes              |
| 39973 | 1-Jun  |    212 | 6/6/1992   | Clemson                        | WR               | DeAndre Hopkins            |
| 39975 | 2-Jun  |    238 | 3/17/1991  | Tennessee                      | RB               | Cordarrelle Patterson      |
| 39976 | 2-Jun  |    235 | 9/25/1991  | Georgia                        | ILB              | Alec Ogletree              |
| 39983 | 5-Jun  |    250 | 11/10/1990 | Stanford                       | TE               | Zach Ertz                  |
| 39984 | Jun-00 |    190 | 1/1/1991   | Mississippi State              | CB               | Darius Slay                |
| 39985 | 9-May  |    205 | 11/22/1991 | North Carolina                 | RB               | Giovani Bernard            |
| 39987 | 3-Jun  |    221 | 10/10/1990 | West Virginia                  | QB               | Geno Smith                 |
| 39989 | Jun-00 |    193 | 4/10/1992  | Southern California            | WR               | Robert Woods               |
| 39993 | Jun-00 |    246 | 12/3/1990  | Louisiana State                | ILB              | Kevin Minter               |
| 39996 | 1-Jun  |    225 | 2/18/1992  | Michigan State                 | RB               | Le'Veon Bell               |
| 39997 | 3-Jun  |    340 | 3/30/1992  | Ohio State                     | NT               | Johnathan Hankins          |
| 39998 | 1-Jun  |    245 | 5/5/1991   | Florida                        | OLB              | Jon Bostic                 |
| 40000 | 3-Jun  |    255 | 10/20/1989 | Southern Mississippi           | OLB              | Jamie Collins              |
| 40001 | 8-Jun  |    295 | 7/14/1987  | Southern Methodist             | DT               | Margus Hunt                |
| 40008 | 10-May |    186 | 11/1/1988  | Southeastern Louisiana         | CB               | Robert Alford              |
| 40011 | 5-Jun  |    260 | 10/5/1989  | Cincinnati                     | TE               | Travis Kelce               |
| 40017 | 9-May  |    190 | 5/13/1992  | Louisiana State                | SS               | Tyrann Mathieu             |
| 40020 | 4-Jun  |    320 | 7/10/1991  | Kent State                     | G                | Brian Winters              |
| 40021 | 7-Jun  |    225 | 12/12/1989 | North Carolina State           | QB               | Mike Glennon               |
| 40023 | 5-Jun  |    304 | 7/23/1991  | Arkansas-Pine Bluff            | T                | Terron Armstead            |
| 40024 | 2-Jun  |    211 | 4/27/1992  | California                     | WR               | Keenan Allen               |
| 40026 | 9-May  |    179 | 11/19/1990 | Texas                          | WR               | Marquise Goodwin           |
| 40030 | 3-Jun  |    327 | 7/11/1989  | Georgia                        | NT               | John Jenkins               |
| 40031 | 11-May |    195 | 2/9/1991   | Rutgers                        | FS               | Logan Ryan                 |
| 40039 | 1-Jun  |    205 | 1/24/1991  | Rutgers                        | SS               | Duron Harmon               |
| 40042 | 1-Jun  |    336 | 2/21/1989  | Missouri Southern              | NT               | Brandon Williams           |
| 40051 | 4-Jun  |    260 | 2/8/1991   | Texas                          | DE               | Alex Okafor                |
| 40070 | 4-Jun  |    307 | 2/12/1991  | Cornell                        | C                | J.C. Tretter               |
| 40074 | 6-Jun  |    281 | 7/31/1991  | Michigan State                 | DE               | William Gholston           |
| 40077 | 2-Jun  |    260 | 10/14/1990 | Ohio State                     | DE               | John Simon                 |
| 40078 | 1-Jun  |    240 | 4/23/1991  | Harvard                        | FB               | Kyle Juszczyk              |
| 40089 | 5-Jun  |    315 | 6/5/1991   | Virginia                       | G                | Oday Aboushi               |
| 40092 | 1-Jun  |    202 | 4/22/1992  | Oklahoma                       | WR               | Kenny Stills               |
| 40095 | 3-Jun  |    263 | 9/16/1990  | Buffalo                        | OLB              | Steven Means               |
| 40096 | 1-Jun  |    240 | 7/30/1991  | Iowa State                     | OLB              | A.J. Klein                 |
| 40107 | Jun-00 |    197 | 12/31/1990 | Iowa                           | FS               | Micah Hyde                 |
| 40124 | 5-Jun  |    310 | 8/24/1990  | San Jose State                 | G                | David Quessenberry         |
| 40129 | 3-Jun  |    230 | 1/18/1990  | Central Florida                | RB               | Latavius Murray            |
| 40138 | 10-May |    215 | 7/2/1990   | Nebraska                       | RB               | Rex Burkhead               |
| 40149 | 6-Jun  |    255 | 1/11/1990  | Connecticut                    | TE               | Ryan Griffin               |
| 40151 | 4-Jun  |    319 | 5/27/1991  | Colorado State-Pueblo          | C                | Ryan Jensen                |
| 40166 | Jun-00 |    191 | 4/25/1991  | Oregon State                   | SS               | Jordan Poyer               |
| 40171 | 4-Jun  |    309 | 2/21/1990  | Samford                        | DE               | Nicholas Williams          |
| 40253 | 3-Jun  |    249 | 8/26/1990  | Florida                        | DE               | Lerentee McCray            |
| 40347 | 3-Jun  |    328 | 4/20/1991  | Wyoming                        | NT               | Mike Purcell               |
| 40353 | 2-Jun  |    196 | 10/2/1989  | Northern Illinois              | CB               | Rashaan Melvin             |
| 40416 | 4-Jun  |    295 | 4/23/1991  | Alabama-Birmingham             | T                | Christopher Hubbard        |
| 40463 | 3-Jun  |    263 | 7/2/1991   | Pennsylvania                   | OLB              | Brandon Copeland           |
| 40488 | 2-Jun  |    200 | 8/22/1990  | Minn. State-Mankato            | WR               | Adam Thielen               |
| 40608 | 2-Jun  |    293 | 2/6/1989   | Alabama                        | NT               | Damion Square              |
| 40615 | 7-Jun  |    230 | 7/29/1991  | Wisconsin-Milwaukee            | TE               | Demetrius Harris           |
| 40621 | 1-Jun  |    215 | 11/15/1990 | Kansas                         | SS               | Bradley McDougald          |
| 40641 | 6-Jun  |    262 | 5/5/1990   | Western Kentucky               | TE               | Jack Doyle                 |
| 40688 | Jun-00 |    191 | 8/16/1991  | Central Florida                | CB               | A.J. Bouye                 |
| 40825 | 3-Jun  |    265 | 8/3/1991   | Idaho                          | OLB              | Benson Mayowa              |
| 41069 | 2-Jun  |    300 | 6/5/1989   | Iowa                           | C                | James Ferentz              |
| 41222 | 9-Jun  |    320 | 9/22/1988  | Army                           | T                | Alejandro Villanueva       |
| 41227 | 5-Jun  |    255 | 2/14/1993  | South Carolina                 | DE               | Jadeveon Clowney           |
| 41230 | 1-Jun  |    211 | 6/14/1993  | Clemson                        | WR               | Sammy Watkins              |
| 41231 | 3-Jun  |    269 | 2/22/1991  | Buffalo                        | OLB              | Khalil Mack                |
| 41232 | 5-Jun  |    309 | 2/11/1992  | Texas A&amp;M                  | T                | Jake Matthews              |
| 41233 | 5-Jun  |    231 | 8/21/1993  | Texas A&amp;M                  | WR               | Mike Evans                 |
| 41235 | 5-Jun  |    255 | 3/18/1992  | UCLA                           | OLB              | Anthony Barr               |
| 41236 | 4-Jun  |    253 | 4/10/1993  | North Carolina                 | TE               | Eric Ebron                 |
| 41237 | 7-Jun  |    309 | 7/22/1991  | Michigan                       | T                | Taylor Lewan               |
| 41238 | 11-May |    198 | 11/5/1992  | Louisiana State                | WR               | Odell Beckham              |
| 41239 | 1-Jun  |    280 | 5/23/1991  | Pittsburgh                     | DT               | Aaron Donald               |
| 41240 | 11-May |    194 | 2/16/1992  | Virginia Tech                  | CB               | Kyle Fuller                |
| 41242 | 4-Jun  |    315 | 11/20/1990 | Notre Dame                     | G                | Zack Martin                |
| 41243 | 2-Jun  |    250 | 6/19/1992  | Alabama                        | ILB              | C.J. Mosley                |
| 41246 | 10-May |    183 | 9/25/1993  | Oregon State                   | WR               | Brandin Cooks              |
| 41249 | 2-Jun  |    252 | 3/19/1991  | Auburn                         | DE               | Dee Ford                   |
| 41251 | 10-May |    188 | 6/18/1991  | Texas Christian                | CB               | Jason Verrett              |
| 41256 | 11-May |    193 | 7/18/1991  | Northern Illinois              | FS               | Jimmie Ward                |
| 41257 | 11-May |    194 | 5/1/1992   | Ohio State                     | CB               | Bradley Roby               |
| 41258 | 2-Jun  |    215 | 11/10/1992 | Louisville                     | QB               | Teddy Bridgewater          |
| 41262 | 4-Jun  |    310 | 1/1/1991   | UCLA                           | G                | Xavier Su'a-Filo           |
| 41263 | 3-Jun  |    265 | 4/28/1992  | Boise State                    | DE               | Demarcus Lawrence          |
| 41264 | 4-Jun  |    320 | 10/11/1991 | Nevada                         | G                | Joel Bitonio               |
| 41265 | 3-Jun  |    210 | 3/28/1991  | Fresno State                   | QB               | Derek Carr                 |
| 41269 | 3-Jun  |    250 | 3/26/1991  | Brigham Young                  | OLB              | Kyle Van Noy               |
| 41270 | 8-May  |    185 | 11/27/1990 | Florida State                  | SS               | Lamarcus Joyner            |
| 41279 | 3-Jun  |    252 | 1/17/1993  | Georgia Tech                   | OLB              | Jeremiah Attaochu          |
| 41282 | 1-Jun  |    215 | 12/24/1992 | Fresno State                   | WR               | Davante Adams              |
| 41286 | Jun-00 |    229 | 9/20/1990  | Ohio State                     | RB               | Carlos Hyde                |
| 41290 | 2-Jun  |    220 | 8/24/1993  | Penn State                     | WR               | Allen Robinson             |
| 41291 | 2-Jun  |    225 | 11/2/1991  | Eastern Illinois               | QB               | Jimmy Garoppolo            |
| 41292 | 11-May |    196 | 11/28/1992 | Louisiana State                | WR               | Jarvis Landry              |
| 41293 | 6-Jun  |    315 | 5/29/1991  | Missouri                       | C                | Justin Britt               |
| 41295 | 6-Jun  |    330 | 3/3/1991   | Virginia                       | T                | Morgan Moses               |
| 41296 | 5-Jun  |    310 | 10/17/1991 | North Dakota State             | T                | Billy Turner               |
| 41300 | 2-Jun  |    235 | 8/31/1992  | Iowa                           | OLB              | Christian Kirksey          |
| 41308 | 11-May |    205 | 3/2/1992   | Florida State                  | SS               | Terrence Brooks            |
| 41310 | 3-Jun  |    336 | 7/12/1991  | Mississippi State              | G                | Gabe Jackson               |
| 41320 | 11-May |    179 | 4/3/1990   | Pittsburg State                | WR               | John Brown                 |
| 41321 | 3-Jun  |    315 | 6/14/1993  | Louisiana State                | G                | Trai Turner                |
| 41322 | 6-Jun  |    315 | 1/25/1992  | Miami                          | G                | Brandon Linder             |
| 41324 | 6-Jun  |    301 | 11/15/1990 | Michigan                       | G                | Michael Schofield          |
| 41325 | 9-May  |    205 | 5/3/1992   | Georgia Southern               | RB               | Jerick McKinnon            |
| 41327 | 4-Jun  |    257 | 1/22/1992  | California                     | TE               | Richard Rodgers            |
| 41331 | 11-May |    195 | 1/30/1992  | Clemson                        | CB               | Bashaud Breeland           |
| 41332 | 8-May  |    206 | 3/15/1992  | Florida State                  | RB               | Devonta Freeman            |
| 41336 | 2-Jun  |    350 | 12/27/1990 | Louisiana Tech                 | DT               | Justin Ellis               |
| 41338 | Jun-00 |    191 | 8/6/1991   | Duke                           | CB               | Ross Cockrell              |
| 41341 | 4-Jun  |    322 | 12/27/1991 | Penn State                     | DT               | DaQuan Jones               |
| 41348 | Jun-00 |    235 | 6/10/1992  | Iowa                           | ILB              | Anthony Hitchens           |
| 41349 | 6-Jun  |    250 | 7/1/1991   | Virginia Tech                  | TE               | Logan Thomas               |
| 41356 | 1-Jun  |    192 | 9/8/1990   | Lindenwood                     | CB               | Pierre Desir               |
| 41358 | 2-Jun  |    200 | 12/1/1991  | North Carolina State           | CB               | Dontae Johnson             |
| 41359 | 10-May |    205 | 2/3/1992   | Wisconsin                      | RB               | James White                |
| 41361 | Jun-00 |    230 | 10/7/1991  | Boston College                 | OLB              | Kevin Pierre-Louis         |
| 41362 | 9-May  |    192 | 4/23/1991  | Utah State                     | CB               | Nevin Lawson               |
| 41363 | 7-Jun  |    300 | 5/5/1991   | Virginia                       | DE               | Brent Urban                |
| 41376 | 9-May  |    186 | 12/18/1991 | Purdue                         | SS               | Ricardo Allen              |
| 41387 | 2-Jun  |    292 | 11/23/1991 | Princeton                      | DT               | Caraun Reid                |
| 41390 | 3-Jun  |    301 | 7/27/1991  | Ohio State                     | C                | Corey Linsley              |
| 41403 | 3-Jun  |    256 | 6/24/1991  | Southern California            | OLB              | Devon Kennard              |
| 41436 | 3-Jun  |    300 | 10/12/1989 | Boise State                    | C                | Matt Paradis               |
| 41448 | Jun-00 |    204 | 7/28/1990  | Ohio                           | CB               | T.J. Carrie                |
| 41449 | 5-Jun  |    310 | 2/25/1991  | Connecticut                    | DE               | Shamar Stephen             |
| 41464 | 2-Jun  |    290 | 8/11/1991  | Illinois State                 | DE               | Shelby Harris              |
| 41475 | 3-Jun  |    305 | 10/9/1991  | Boise State                    | T                | Charles Leno               |
| 41483 | 11-May |    190 | 5/17/1992  | Oregon                         | CB               | Terrance Mitchell          |
| 41500 | 11-May |    205 | 10/17/1992 | Ball State                     | WR               | Willie Snead               |
| 41502 | 2-Jun  |    208 | 3/5/1990   | Brigham Young                  | FS               | Daniel Sorensen            |
| 41506 | 9-May  |    195 | 7/12/1992  | Georgia State                  | WR               | Albert Wilson              |
| 41532 | 5-Jun  |    310 | 12/17/1991 | North Carolina                 | T                | James Hurst                |
| 41563 | 8-Jun  |    328 | 7/18/1991  | Kansas State                   | T                | Cornelius Lucas            |
| 41595 | 4-Jun  |    332 | 5/9/1991   | Colorado State-Pueblo          | NT               | Mike Pennel                |
| 41599 | 1-Jun  |    232 | 5/6/1991   | South Carolina State           | ILB              | Joe Thomas                 |
| 41619 | 3-Jun  |    316 | 7/6/1992   | Texas                          | C                | Trey Hopkins               |
| 41630 | 3-Jun  |    317 | 5/31/1992  | Central Florida                | C                | Justin McCray              |
| 41665 | 3-Jun  |    310 | 5/5/1991   | Clemson                        | G                | Tyler Shatley              |
| 41667 | 6-Jun  |    306 | 2/14/1991  | James Madison                  | T                | Josh Wells                 |
| 41707 | 4-Jun  |    325 | 7/8/1991   | Utah State                     | C                | Tyler Larsen               |
| 41712 | 11-May |    224 | 4/3/1992   | Oklahoma                       | RB               | Damien Williams            |
| 41722 | 6-Jun  |    290 | 2/17/1991  | Stanford                       | DE               | Josh Mauro                 |
| 41786 | 2-Jun  |    270 | 5/2/1991   | Texas Tech                     | DE               | Kerry Hyder                |
| 41808 | Jun-00 |    240 | 4/8/1992   | San Jose State                 | FB               | Keith Smith                |
| 41915 | 2-Jun  |    250 | 11/17/1992 | Colorado State                 | OLB              | Shaquil Barrett            |
| 41919 | 2-Jun  |    334 | 8/29/1990  | Delaware                       | DT               | Zach Kerr                  |
| 41939 | 6-Jun  |    325 | 10/25/1991 | Ohio State                     | G                | Andrew Norwell             |
| 41947 | 3-Jun  |    250 | 2/18/1991  | Florida State                  | ILB              | Christian Jones            |
| 41959 | 6-Jun  |    330 | 7/7/1992   | Bloomsburg                     | G                | Matt Feiler                |
| 42030 | 9-May  |    183 | 7/12/1991  | Pittsburgh                     | CB               | K'Waun Williams            |
